Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Maximum Operating Temperature,Thermal Conductivity,Product,Type,Package / Case,Material,Breakdown Voltage,Color,Minimum Operating Temperature,Length,Width,Thickness,Tensile Strength,Flammability Rating,Series,Packaging
667-EYG-R0507ZRML,EYG-R0507ZRML,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$13.47,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0507ZRML?qs=81r%252BiQLm7BTuaRSyL14Q%252BQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0507ZRML&utm_content=Panasonic,+ 400 C,200 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,66 mm,45.3 mm,0.35 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R0714ZRAE,EYG-R0714ZRAE,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$33.75,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0714ZRAE?qs=81r%252BiQLm7BTL2IQEIkRCUA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0714ZRAE&utm_content=Panasonic,+ 400 C,200 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,138 mm,70 mm,0.35 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R1014ZLAD,EYG-R1014ZLAD,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$28.24,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1014ZLAD?qs=81r%252BiQLm7BQuQMN3eEaqKQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1014ZLAD&utm_content=Panasonic,+ 400 C,250 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,138 mm,97.8 mm,0.25 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R1314ZRWE,EYG-R1314ZRWE,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$67.49,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1314ZRWE?qs=81r%252BiQLm7BQEkV6ifXOwzQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1314ZRWE&utm_content=Panasonic,+ 400 C,200 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,136 mm,126 mm,0.35 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R1116ZLSC,EYG-R1116ZLSC,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$20.38,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1116ZLSC?qs=81r%252BiQLm7BRxCVGG10eB%252Bg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1116ZLSC&utm_content=Panasonic,+ 400 C,250 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,158 mm,112 mm,0.25 mm,600 kPa,UL 94 V-0,EYGR,Bulk
739-A17751-06,A17751-06,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked Lead-Time 10 Weeks,$735.47,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17751-06?qs=1mbolxNpo8ddz3DDyilLzQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17751-06&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Gray,- 50 C,457.2 mm,457.2 mm,1.52 mm,10 psi,UL 94 V-0,HD90000,Bulk
739-A16367-08,A16367-08,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_SF600_DS_071718-1634176.pdf,Non-Stocked Lead-Time 12 Weeks,$128.57,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16367-08?qs=6E8igxPflKdf%2Fb9kV1j4wQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16367-08&utm_content=Laird-Performance-Materials,+ 125 C,3 W/m-K,Thermally Conductive Gap Pad,,,Boron Nitride,,Red (Rose),- 20 C,9 in,9 in,0.08 in,,UL 94 V-0,Tflex SF600,Bulk
739-A10235-36,A10235-36,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tputty_502_Data_Sheet_12-6-17-1634257.pdf,Non-Stocked Lead-Time 6 Weeks,$612.63,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A10235-36?qs=3IuyYncJTQGUFlAhrxAsXg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A10235-36&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Adhesive,,,Boron Nitride,5 kVAC,White,- 45 C,457 mm,457 mm,2.03 mm,,UL 94 HB,Tputty 502,Bulk
667-EYG-R0612ZLSF,EYG-R0612ZLSF,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$11.71,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0612ZLSF?qs=81r%252BiQLm7BQNsbM5HDwvPg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0612ZLSF&utm_content=Panasonic,+ 400 C,250 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,124 mm,63.3 mm,0.25 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R0714ZLAE,EYG-R0714ZLAE,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$25.22,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0714ZLAE?qs=81r%252BiQLm7BQ2EiFSjAc3Ug%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0714ZLAE&utm_content=Panasonic,+ 400 C,250 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,138 mm,70 mm,0.25 mm,600 kPa,UL 94 V-0,EYGR,Bulk
739-A18443-10,A18443-10,Laird Performance Materials,,Non-Stocked Lead-Time 4 Weeks,"$1,226.01",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A18443-10?qs=vvQtp7zwQdMSS0SqlIIRpg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A18443-10&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermal Gap Fillers,Gap Filter,,,,Gray,- 50 C,1.5 ft,1.5 ft,2.5 mm,,,Tflex,Bulk
739-A18443-11,A18443-11,Laird Performance Materials,,Non-Stocked Lead-Time 4 Weeks,"$1,332.48",RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A18443-11?qs=vvQtp7zwQdPTrXx6iDaFYQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A18443-11&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermal Gap Fillers,Gap Filter,,,,Gray,- 50 C,1.5 ft,1.5 ft,2.75 mm,,,Tflex,Bulk
739-A18444-11,A18444-11,Laird Performance Materials,,Non-Stocked Lead-Time 4 Weeks,$317.29,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A18444-11?qs=vvQtp7zwQdPmVET4inyRXg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A18444-11&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermal Gap Fillers,Gap Filter,,,,Gray,- 50 C,9 in,9 in,2.75 mm,,,Tflex,Bulk
739-A18444-15,A18444-15,Laird Performance Materials,,Non-Stocked Lead-Time 4 Weeks,$418.69,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A18444-15?qs=vvQtp7zwQdOKLP028WeNng%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A18444-15&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermal Gap Fillers,Gap Filter,,,,Gray,- 50 C,9 in,9 in,3.75 mm,,,Tflex,Bulk
667-EYG-S1010ZLME,EYG-S1010ZLME,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 8 Weeks,$19.59,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-S1010ZLME?qs=UwjGKF2Bi26DYe1CbSOUuw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-S1010ZLME&utm_content=Panasonic,+ 400 C,20 W/m-K,Thermally Conductive Graphite Sheet,,,Graphite,,Gray,- 55 C,98 mm,98 mm,0.2 mm,600 kPa,-,Soft-PGS,Bulk
490-SF600G-153005,SF600G-153005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600g-1779089.pdf,Non-Stocked Lead-Time 5 Weeks,$66.82,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600G-153005?qs=PqoDHHvF64%252BzcKgQBNT%252B3w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600G-153005&utm_content=CUI-Devices,+ 200 C,6 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,2.5 kVAC,Gray,- 58 C,15 mm,30 mm,0.5 mm,15 psi,,SF600G,
490-SF600G-303005,SF600G-303005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600g-1779089.pdf,Non-Stocked Lead-Time 5 Weeks,$66.82,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600G-303005?qs=PqoDHHvF648JC%2FbtF%2FhnvQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600G-303005&utm_content=CUI-Devices,+ 200 C,6 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,2.5 kVAC,Gray,- 58 C,30 mm,30 mm,0.5 mm,15 psi,,SF600G,
490-SF600G-505005,SF600G-505005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600g-1779089.pdf,Non-Stocked Lead-Time 5 Weeks,$64.82,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600G-505005?qs=PqoDHHvF648x9Cp9zUuQdQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600G-505005&utm_content=CUI-Devices,+ 200 C,6 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,2.5 kVAC,Gray,- 58 C,50 mm,50 mm,0.5 mm,15 psi,,SF600G,
739-A17883-16,A17883-16,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Laird_Performance_Materials_-_A18003-00_-_Tflex_HD-1635193.pdf,Non-Stocked Lead-Time 5 Weeks,$277.20,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17883-16?qs=l4Gc20tDgJJhQ7kcTygmrA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17883-16&utm_content=Laird-Performance-Materials,+ 150 C,6 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Teal,- 40 C,228.6 mm,228.6 mm,0.16 in,10 psi,UL 94 V-0,Tflex HD80000,Bulk
739-A17883-18,A17883-18,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Laird_Performance_Materials_-_A18003-00_-_Tflex_HD-1635193.pdf,Lead-Time 5 Weeks,$305.63,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17883-18?qs=l4Gc20tDgJItdW2V4Hf0tw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17883-18&utm_content=Laird-Performance-Materials,+ 150 C,6 W/m-K,Thermally Conductive Gap Pad,,,Ceramic Filled Silicone,,Blue (Teal),- 40 C,9 in,9 in,0.18 in,,UL 94 V-0,Tflex HD80000,Bulk
490-AF500-204005,AF500-204005,CUI Devices,https://www.mouser.com/datasheet/2/670/af500-1776536.pdf,Non-Stocked Lead-Time 5 Weeks,$46.00,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/AF500-204005?qs=PqoDHHvF64860A0xhORyKg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF500-204005&utm_content=CUI-Devices,+ 125 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Non-Silicone Elastomer,2.5 kVAC,Gray,- 45 C,20 mm,40 mm,0.5 mm,30 psi,UL 94 V-0,AF500,
490-SF400-151505,SF400-151505,CUI Devices,https://www.mouser.com/datasheet/2/670/sf400-1779087.pdf,Non-Stocked Lead-Time 8 Weeks,$0.10,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF400-151505?qs=PqoDHHvF6495uXOnLh1yzA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF400-151505&utm_content=CUI-Devices,+ 200 C,2.5 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,2.5 kVAC,Gray,- 58 C,15 mm,15 mm,0.5 mm,25 psi,,SF400,
490-SF500-313005,SF500-313005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500-1779055.pdf,Non-Stocked Lead-Time 5 Weeks,$24.20,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500-313005?qs=PqoDHHvF64%252B3OehZ84ZzJA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500-313005&utm_content=CUI-Devices,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,2.5 kVAC,Blue,- 58 C,31.25 mm,30 mm,0.5 mm,25 psi,,SF500,
490-SF500G-265005,SF500G-265005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500g-1779119.pdf,Non-Stocked Lead-Time 5 Weeks,$34.32,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500G-265005?qs=PqoDHHvF648GyWIh01KmXg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500G-265005&utm_content=CUI-Devices,+ 200 C,3.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,2.5 kVAC,Blue,- 58 C,26.25 mm,50 mm,0.5 mm,25 psi,,SF500G,
490-SF600-101005,SF600-101005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf600-1779245.pdf,Non-Stocked Lead-Time 5 Weeks,$49.27,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF600-101005?qs=PqoDHHvF64%2FTE%2FdOJVNrbw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF600-101005&utm_content=CUI-Devices,+ 200 C,5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,2.5 kVAC,Gray,- 58 C,10 mm,10 mm,0.5 mm,20 psi,,SF600,
490-AF200-303005,AF200-303005,CUI Devices,https://www.mouser.com/datasheet/2/670/af200-1776166.pdf,Non-Stocked Lead-Time 5 Weeks,$23.15,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/AF200-303005?qs=PqoDHHvF648AnFQRu9a%252Blw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF200-303005&utm_content=CUI-Devices,+ 125 C,2 W/m-K,Thermally Conductive Gap Pad,,,Non-Silicone Elastomer,2.5 kVAC,White,- 45 C,30 mm,30 mm,0.5 mm,30 psi,,AF200,
490-AF500-151505,AF500-151505,CUI Devices,https://www.mouser.com/datasheet/2/670/af500-1776536.pdf,Non-Stocked Lead-Time 5 Weeks,$35.44,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/AF500-151505?qs=PqoDHHvF64%252BbWUU%2FmM4BvA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AF500-151505&utm_content=CUI-Devices,+ 125 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Non-Silicone Elastomer,2.5 kVAC,Gray,- 45 C,15 mm,15 mm,0.5 mm,30 psi,UL 94 V-0,AF500,
739-A17557-125,A17557-125,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/RFP_DS_COOLZORB_500_050119-2526168.pdf,Non-Stocked Lead-Time 8 Weeks,$504.81,,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17557-125?qs=byeeYqUIh0M6S%2FX2xtgYTQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17557-125&utm_content=Laird-Performance-Materials,+ 175 C,4 W/m-K,Thermally Conductive Gap Pad,,,,,Gray,- 40 C,1.5 ft,1.5 ft,0.125 in,45 psi,UL 94 V-0,COOLZORB,
490-SF500-101005,SF500-101005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500-1779055.pdf,Non-Stocked Lead-Time 5 Weeks,$28.15,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500-101005?qs=PqoDHHvF64%252Bkge9mPsFWOA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500-101005&utm_content=CUI-Devices,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,2.5 kVAC,Blue,- 58 C,10 mm,10 mm,0.5 mm,25 psi,,SF500,
490-SF500G-202005,SF500G-202005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500g-1779119.pdf,Non-Stocked Lead-Time 5 Weeks,$31.99,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500G-202005?qs=PqoDHHvF6480G8Ln2y726w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500G-202005&utm_content=CUI-Devices,+ 200 C,3.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,2.5 kVAC,Blue,- 58 C,20 mm,20 mm,0.5 mm,25 psi,,SF500G,
667-EYG-S1313ZLGB,EYG-S1313ZLGB,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 8 Weeks,$29.54,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-S1313ZLGB?qs=UwjGKF2Bi27ZdZf4FWd93A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-S1313ZLGB&utm_content=Panasonic,+ 400 C,20 W/m-K,Thermally Conductive Graphite Sheet,,,Graphite,,Gray,- 55 C,128 mm,128 mm,0.2 mm,600 kPa,-,Soft-PGS,Bulk
667-EYG-S1315ZLGA,EYG-S1315ZLGA,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 8 Weeks,$29.54,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-S1315ZLGA?qs=UwjGKF2Bi26cD8KOL0scxA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-S1315ZLGA&utm_content=Panasonic,+ 400 C,20 W/m-K,Thermally Conductive Graphite Sheet,,,Graphite,,Gray,- 55 C,129.5 mm,150 mm,0.2 mm,600 kPa,-,Soft-PGS,Bulk
739-A15754-03,A15754-03,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_SF800_Series-1760830.pdf,Non-Stocked Lead-Time 10 Weeks,$77.81,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A15754-03?qs=pxDZlBjcsCiwTG7D1WGa3w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A15754-03&utm_content=Laird-Performance-Materials,+ 120 C,7.8 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 25 C,9 in,9 in,0.03 in,,UL 94 V-0,Tflex SF800,Bulk
667-EYG-R0612ZRSG,EYG-R0612ZRSG,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$23.81,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0612ZRSG?qs=81r%252BiQLm7BQLD4WYMS0SUw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0612ZRSG&utm_content=Panasonic,+ 400 C,200 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,124 mm,61.5 mm,0.35 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R0811ZRGH,EYG-R0811ZRGH,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$23.81,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0811ZRGH?qs=81r%252BiQLm7BT5wh8jhh8UxQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0811ZRGH&utm_content=Panasonic,+ 400 C,200 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,113 mm,80 mm,0.35 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R1012ZRSH,EYG-R1012ZRSH,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$40.00,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1012ZRSH?qs=81r%252BiQLm7BSsVDd9VHxqig%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1012ZRSH&utm_content=Panasonic,+ 400 C,200 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,121 mm,104.5 mm,0.35 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R0404ZLMP,EYG-R0404ZLMP,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$6.64,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0404ZLMP?qs=81r%252BiQLm7BQr38gRukISzQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0404ZLMP&utm_content=Panasonic,+ 400 C,250 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,38 mm,36 mm,0.25 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R0309ZLAK,EYG-R0309ZLAK,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$7.90,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0309ZLAK?qs=81r%252BiQLm7BR5d7G4Y%252B2kyw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0309ZLAK&utm_content=Panasonic,+ 400 C,250 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,89.5 mm,29.5 mm,0.25 mm,600 kPa,UL 94 V-0,EYGR,Bulk
490-SF500-204005,SF500-204005,CUI Devices,https://www.mouser.com/datasheet/2/670/sf500-1779055.pdf,Non-Stocked Lead-Time 5 Weeks,$23.26,RoHS Compliant,,https://www.mouser.com/ProductDetail/CUI-Devices/SF500-204005?qs=PqoDHHvF64%252B7E8THc3Cw5Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SF500-204005&utm_content=CUI-Devices,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,2.5 kVAC,Blue,- 58 C,20 mm,40 mm,0.5 mm,25 psi,,SF500,
667-EYG-R0509ZLMH,EYG-R0509ZLMH,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$9.87,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0509ZLMH?qs=81r%252BiQLm7BQFRfgcKCiEXQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0509ZLMH&utm_content=Panasonic,+ 400 C,250 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,86 mm,51 mm,0.25 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R0607ZLGL,EYG-R0607ZLGL,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$8.83,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R0607ZLGL?qs=81r%252BiQLm7BSg9GRzGCUvrg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R0607ZLGL&utm_content=Panasonic,+ 400 C,250 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,69.7 mm,58 mm,0.25 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R1116ZLMA,EYG-R1116ZLMA,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$28.24,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1116ZLMA?qs=81r%252BiQLm7BTmgpSgTgRYrg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1116ZLMA&utm_content=Panasonic,+ 400 C,250 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,158 mm,108.8 mm,0.25 mm,600 kPa,UL 94 V-0,EYGR,Bulk
667-EYG-R1116ZRSC,EYG-R1116ZRSC,Panasonic,https://www.mouser.com/datasheet/2/315/AYA0000C50-1129407.pdf,Non-Stocked Lead-Time 10 Weeks,$40.00,RoHS Compliant,,https://www.mouser.com/ProductDetail/Panasonic/EYG-R1116ZRSC?qs=81r%252BiQLm7BTGLwo7J9j1TA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=EYG-R1116ZRSC&utm_content=Panasonic,+ 400 C,200 W/m-K,Thermally Conductive Graphite Sheet,High Compressible Graphite Sheet,,Graphite,,Gray,- 55 C,158 mm,112 mm,0.35 mm,600 kPa,UL 94 V-0,EYGR,Bulk
739-A18444-07,A18444-07,Laird Performance Materials,,,$220.26,RoHS Compliant,New Product,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A18444-07?qs=vvQtp7zwQdPBRapRNXVpNw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A18444-07&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermal Gap Fillers,Gap Filter,,,,Gray,- 50 C,9 in,9 in,1.75 mm,,,Tflex,Bulk
