Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,Length,Width,Thickness,Thermal Conductivity,Minimum Operating Temperature,Maximum Operating Temperature,,Product,Type,Material,Color,Tensile Strength,Flammability Rating,Packaging,Product Detail
739-A10464-02,A10464-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_TGON_800_1109-1634259.pdf,34  In Stock,0.123815547,457 mm,305 mm,0.51 mm,5 W/m-K,- 240 C,+ 300 C,,Thermally Conductive Gap Pad,Thermal Pad,Graphite,Pewter,650 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A10464-02?qs=IaKneoEBqbU8yDQ5Fps81A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A10464-02&utm_content=Laird-Performance-Materials
468-COH1706200051NT,COH-1706-200-05-1NT,Taica,https://www.mouser.com/datasheet/2/780/COH_1706_English-1669969.pdf,125  In Stock,0.12645136,200 mm,200 mm,0.5 mm,3.8 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gel Sheet,Thermal Pad,Silicone Gel,Gray,0.24 MPa,UL 94 V-0,,https://www.mouser.com/ProductDetail/Taica/COH-1706-200-05-1NT?qs=81r%252BiQLm7BT8q%252BU4onhsEQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=COH-1706-200-05-1NT&utm_content=Taica
951-2166336,2166336,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_SIL_PAD_TSP_3500_en_GL-3369847.pdf,Non-Stocked Lead-Time 8 Weeks,0.12845679,,,0.508 mm,3.5 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,,Silicone Elastomer,White,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/2166336?qs=B6kkDfuK7%2FD9FWHeGK%252BBVw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2166336&utm_content=Bergquist-Company
951-2792891,2792891,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-A3000-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,0.129921875,,,0.508 mm,3 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,,Silicone Elastomer,White,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/2792891?qs=t7xnP681wgUBpt31JlzVhA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2792891&utm_content=Bergquist-Company
951-2792891,2792891,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-A3000-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,0.129921875,,,0.508 mm,3 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Insulator,,Silicone Elastomer,White,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/2792891?qs=t7xnP681wgUBpt31JlzVhA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2792891&utm_content=Bergquist-Company
590-8618-10ML,8618-10ML,MG Chemicals,https://www.mouser.com/datasheet/2/265/tds_8618-3318326.pdf,6  In Stock,0.133703704,,,,6 W/m-K,- 55 C,+ 200 C,,Thermal Paste,,Non-Silicone Elastomer,Gray,,,,https://www.mouser.com/ProductDetail/MG-Chemicals/8618-10ML?qs=HoCaDK9Nz5fsZfvY5KHj%252Bg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=8618-10ML&utm_content=MG-Chemicals
739-A17915-06,A17915-06,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,9  In Stock,0.136234568,457.2 mm,457.2 mm,1.52 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17915-06?qs=7MVldsJ5UawNS1YmH0tAfw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17915-06&utm_content=Laird-Performance-Materials
739-A17915-06,A17915-06,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,9  In Stock,0.136234568,457.2 mm,457.2 mm,1.52 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17915-06?qs=7MVldsJ5UawNS1YmH0tAfw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17915-06&utm_content=Laird-Performance-Materials
739-A17916-06,A17916-06,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,62  In Stock,0.144074074,228.6 mm,228.6 mm,1.52 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17916-06?qs=7MVldsJ5UaxB6vdbydyFsg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17916-06&utm_content=Laird-Performance-Materials
739-A17915-07,A17915-07,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,12  In Stock,0.154753086,457.2 mm,457.2 mm,1.77 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17915-07?qs=7MVldsJ5Uazy1ZEulyL1Ng%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17915-07&utm_content=Laird-Performance-Materials
739-A17916-07,A17916-07,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,64  In Stock,0.163580247,228.6 mm,228.6 mm,1.77 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17916-07?qs=7MVldsJ5UaxsWz1vIR4ahA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17916-07&utm_content=Laird-Performance-Materials
739-A15972-02,A15972-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR_DS_Tflex_HR600_1109-1634251.pdf,123  In Stock,0.165617284,457.2 mm,457.2 mm,0.254 mm,3 W/m-K,- 45 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Silicone Elastomer,Gray,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A15972-02?qs=3IuyYncJTQG577xzannhwQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A15972-02&utm_content=Laird-Performance-Materials
710-40102005,40102005,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40102005.pdf,7  In Stock,0.178144805,400 mm,200 mm,0.51 mm,2 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40102005?qs=e8oIoAS2J1TePH5wHl8bEw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40102005&utm_content=Wurth-Elektronik
739-A17916-08,A17916-08,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,50  In Stock,0.178271605,228.6 mm,228.6 mm,2.03 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17916-08?qs=7MVldsJ5Uaz%2FyMJ0HP6dgA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17916-08&utm_content=Laird-Performance-Materials
739-A17915-08,A17915-08,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,8  In Stock,0.17845679,457.2 mm,457.2 mm,2.03 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17915-08?qs=7MVldsJ5Uaz1afD1A2zatw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17915-08&utm_content=Laird-Performance-Materials
951-QII0.006001212,QII-0.006-00-1212,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-Q2500-en_GL.pdf,189  In Stock,0.179097222,304.8 mm,304.8 mm,0.152 mm,2.5 W/m-K,- 60 C,+ 180 C,,Thermally Conductive Insulator,Q-Pad Grease Replacement Thermal Interface,Silicone Elastomer,Black,50 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/QII-0.006-00-1212?qs=qSfuJ%252Bfl%2Fd55OgHItM7J6A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=QII-0.006-00-1212&utm_content=Bergquist-Company
951-Q30.005AC1212,Q3-0.005-AC-1212,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-Q2000-en_GL.pdf,109  In Stock,0.179305556,304.8 mm,304.8 mm,0.127 mm,2 W/m-K,- 60 C,+ 180 C,,Thermally Conductive Insulator,Q-Pad Grease Replacement Thermal Interface,Silicone Elastomer,Black,50 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/Q3-0.005-AC-1212?qs=qSfuJ%252Bfl%2Fd6jbqLD5H4u4Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=Q3-0.005-AC-1212&utm_content=Bergquist-Company
739-A17669-008,A17669-008,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_UT20000_Series-2933078.pdf,34  In Stock,0.180617284,457.2 mm,457.2 mm,0.21 mm,3 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17669-008?qs=lYGu3FyN48eyVNFuvkYj9A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17669-008&utm_content=Laird-Performance-Materials
951-R6HG11050ZA,R6HG11050ZA,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-5000-en_GL.pdf,,0.18359375,,,3.175 mm,5 W/m-K,- 60 C,+ 200 C,,Thermal Management,Thermal Pad,Silicone,Green,,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/R6HG11050ZA?qs=By6Nw2ByBD0x9Ak3RZYEgw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=R6HG11050ZA&utm_content=Bergquist-Company
951-Q3-0.005-00-1212,Q3-0.005-00-1212,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-Q2000-en_GL.pdf,"1,433  In Stock",0.185,304.8 mm,304.8 mm,0.127 mm,2 W/m-K,- 60 C,+ 180 C,,Thermally Conductive Insulator,Q-Pad Grease Replacement Thermal Interface,Silicone Elastomer,Black,50 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/Q3-0.005-00-1212?qs=N2Tevpb%252BvobayvMLdJw9TA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=Q3-0.005-00-1212&utm_content=Bergquist-Company
910-TC4-1G,TC4-1G,Chip Quik,https://www.mouser.com/datasheet/2/73/TC4_1G-2511438.pdf,7  In Stock,0.18758027,,,,79 W/m-K,- 40 C,+ 150 C,,Heat Sink Thermal Compound,Syringe,,Silver,,,,https://www.mouser.com/ProductDetail/Chip-Quik/TC4-1G?qs=Wj%2FVkw3K%252BMDOT5dizlU9Pw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TC4-1G&utm_content=Chip-Quik
739-A17682-008,A17682-008,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_UT20000_Series-2933078.pdf,44  In Stock,0.190987654,228.6 mm,228.6 mm,0.21 mm,3 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17682-008?qs=lYGu3FyN48dXFaddyXWYqg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17682-008&utm_content=Laird-Performance-Materials
739-A17915-09,A17915-09,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,10  In Stock,0.193888889,457.2 mm,457.2 mm,2.28 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17915-09?qs=7MVldsJ5UayfuEPPQj9CnQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17915-09&utm_content=Laird-Performance-Materials
468-COH-1706T1.0,COH-1706 t1.0,Taica,https://www.mouser.com/datasheet/2/780/COH_1706_English-1669969.pdf,77  In Stock,0.200039922,400 mm,400 mm,1 mm,3.8 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gel Sheet,Thermal Pad,Silicone Gel,Gray,0.24 MPa,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Taica/COH-1706-t1.0?qs=SH0Geuu7vjfPhi5TYGuBaw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=COH-1706%20t1.0&utm_content=Taica
739-A14560-01,A14560-01,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/THR-DS-Tflex_500_0110-1650982.pdf,3  In Stock,0.204351852,,,0.06 in,2.8 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,,Silicone Elastomer,Blue (Light Blue),66 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A14560-01?qs=sRTx%2FtA2SD%2FhdHJ%2FeNHbGA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A14560-01&utm_content=Laird-Performance-Materials
739-A17916-09,A17916-09,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,10  In Stock,0.205308642,228.6 mm,228.6 mm,2.28 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17916-09?qs=7MVldsJ5UazgbVPFxKw2Ng%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17916-09&utm_content=Laird-Performance-Materials
739-A17915-10,A17915-10,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,9  In Stock,0.209259259,457.2 mm,457.2 mm,2.54 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17915-10?qs=7MVldsJ5UazgjDhp6fL5iw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17915-10&utm_content=Laird-Performance-Materials
739-A17915-11,A17915-11,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,8  In Stock,0.211265432,457.2 mm,457.2 mm,2.79 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17915-11?qs=7MVldsJ5UayBGmp4HY%252BQ5w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17915-11&utm_content=Laird-Performance-Materials
951-QII-0.006-00-101,QII-0.006-00-101,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-SIL-PAD-TSP-Q2500-en_GL.pdf,,0.218,63.5 mm,50.8 mm,0.152 mm,2.5 W/m-K,- 60 C,+ 180 C,,Thermally Conductive Insulator,Q-Pad Grease Replacement Thermal Interface,Silicone Elastomer,Black,50 psi,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/QII-0.006-00-101?qs=HXFqYaX1Q2xAuaWZ69o6YQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=QII-0.006-00-101&utm_content=Bergquist-Company
739-A17916-10,A17916-10,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,79  In Stock,0.221481481,228.6 mm,228.6 mm,2.54 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17916-10?qs=7MVldsJ5UayrmY8GHZC%2FuA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17916-10&utm_content=Laird-Performance-Materials
739-A17915-12,A17915-12,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,,0.230524691,457.2 mm,457.2 mm,3.05 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17915-12?qs=7MVldsJ5UazScH6yUJrZog%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17915-12&utm_content=Laird-Performance-Materials
739-A17916-11,A17916-11,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,15  In Stock,0.237407407,228.6 mm,228.6 mm,2.79 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17916-11?qs=7MVldsJ5UaxxZQLv%2F6gPYA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17916-11&utm_content=Laird-Performance-Materials
739-A17682-010,A17682-010,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17759-00-Tflex_UT20000_DS-1591080.pdf,Non-Stocked Lead-Time 7 Weeks,0.239012346,9 in,9 in,,3 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,,Ceramic Filled Silicone,Gray,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17682-010?qs=lYGu3FyN48fa%2FsA%2FTy1Odg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17682-010&utm_content=Laird-Performance-Materials
739-A17682-010,A17682-010,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17759-00-Tflex_UT20000_DS-1591080.pdf,Non-Stocked Lead-Time 7 Weeks,0.239012346,9 in,9 in,,3 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,,Ceramic Filled Silicone,Gray,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17682-010?qs=lYGu3FyN48fa%2FsA%2FTy1Odg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17682-010&utm_content=Laird-Performance-Materials
710-40112005,40112005,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40112005.pdf,32  In Stock,0.23999952,100 mm,100 mm,0.51 mm,2 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40112005?qs=e8oIoAS2J1QPziaooPMvTA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40112005&utm_content=Wurth-Elektronik
710-40112005,40112005,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40112005.pdf,32  In Stock,0.23999952,100 mm,100 mm,0.51 mm,2 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40112005?qs=e8oIoAS2J1QPziaooPMvTA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40112005&utm_content=Wurth-Elektronik
710-40112005,40112005,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/40112005.pdf,32  In Stock,0.23999952,100 mm,100 mm,0.51 mm,2 W/m-K,- 50 C,+ 180 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Blue,,,Bulk,https://www.mouser.com/ProductDetail/Wurth-Elektronik/40112005?qs=e8oIoAS2J1QPziaooPMvTA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=40112005&utm_content=Wurth-Elektronik
468-COH1706200101NT,COH-1706-200-10-1NT,Taica,https://www.mouser.com/datasheet/2/780/COH_1706_English-1669969.pdf,,0.24322532,200 mm,200 mm,1 mm,3.8 W/m-K,- 40 C,+ 150 C,,Thermal Interface Pad,,,,0.24 MPa,,,https://www.mouser.com/ProductDetail/Taica/COH-1706-200-10-1NT?qs=81r%252BiQLm7BStbzKvQOXlOg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=COH-1706-200-10-1NT&utm_content=Taica
739-A17915-13,A17915-13,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,N/A,0.24882716,457.2 mm,457.2 mm,3.30 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17915-13?qs=7MVldsJ5UaxEP8rhNsDPTg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17915-13&utm_content=Laird-Performance-Materials
951-GF4000-240-50CC,GF4000-00-240-50cc,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_GAP_FILLER_TGF_4000_en_GL-3377447.pdf,,0.252530864,,,,4 W/m-K,- 60 C,+ 200 C,,Thermally Conductive Liquid Gap Filler,Liquid Gap Filler,Silicone Elastomer,"Blue, White",,UL 94 V-0,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF4000-00-240-50cc?qs=N2Tevpb%252BvoYjFoC7nWe21Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF4000-00-240-50cc&utm_content=Bergquist-Company
739-A17170-09,A17170-09,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17223_00_Tputty_508_DS-1844586.pdf,340  In Stock,0.255277778,,,,3.7 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Liquid Gap Filler,Thermal Pad,Silicone Elastomer,Green,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17170-09?qs=vmHwEFxEFR9a%252B%252BklxQppvg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17170-09&utm_content=Laird-Performance-Materials
739-A18183-040,A18183-040,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/MFS_DS_COOLZORB_ULTRA_20210430-2933070.pdf,36  In Stock,0.260092593,457.2 mm,457.2 mm,0.04 in,11.5 W/m-K,- 40 C,+ 125 C,,Thermal/EMI Absorber,Absorbing Sheet,Non-Silicone,Gray (Dark Gray),,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A18183-040?qs=DRkmTr78QATHNGdfKHWXfg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A18183-040&utm_content=Laird-Performance-Materials
739-A17915-14,A17915-14,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,1  In Stock,0.263240741,457.2 mm,457.2 mm,3.56 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17915-14?qs=7MVldsJ5UazdPN3juvq2DA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17915-14&utm_content=Laird-Performance-Materials
739-A17682-011,A17682-011,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A17759-00-Tflex_UT20000_DS-1591080.pdf,33  In Stock,0.26345679,9 in,9 in,,3 W/m-K,- 50 C,+ 200 C,,Thermally Conductive Gap Pad,,Ceramic Filled Silicone,Gray,,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17682-011?qs=lYGu3FyN48fvDU4g6e6LGA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17682-011&utm_content=Laird-Performance-Materials
910-TC3-10G,TC3-10G,Chip Quik,https://www.mouser.com/datasheet/2/73/TC3_10G-2511115.pdf,58  In Stock,0.263541667,,,,8.5 W/m-K,- 40 C,+ 150 C,,Heat Sink Compound,,,Gray,,,,https://www.mouser.com/ProductDetail/Chip-Quik/TC3-10G?qs=Wj%2FVkw3K%252BMAjgB2RRq799w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TC3-10G&utm_content=Chip-Quik
739-A17916-12,A17916-12,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,13  In Stock,0.264444444,228.6 mm,228.6 mm,3.05 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17916-12?qs=7MVldsJ5UazNGB%2FBrdW%252Blg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17916-12&utm_content=Laird-Performance-Materials
739-A17916-12,A17916-12,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,13  In Stock,0.264444444,228.6 mm,228.6 mm,3.05 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17916-12?qs=7MVldsJ5UazNGB%2FBrdW%252Blg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17916-12&utm_content=Laird-Performance-Materials
739-A17915-16,A17915-16,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_B200_Series-1890648.pdf,Non-Stocked,0.271234568,457.2 mm,457.2 mm,4.06 mm,2 W/m-K,- 40 C,+ 150 C,,Thermally Conductive Gap Pad,Thermal Pad,Ceramic Filled Silicone,Gray,10 psi,UL 94 V-0,Bulk,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17915-16?qs=7MVldsJ5UayjCyIp8c0WDQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17915-16&utm_content=Laird-Performance-Materials
